iter	TotalF1	MultiClass
0	0.6768966064	1.070705228
1	0.687892244	1.045045925
2	0.6981269755	1.022926586
3	0.7034992023	0.9989646472
4	0.7045682972	0.9806206774
5	0.7031365796	0.9622330962
6	0.7025763976	0.944768641
7	0.7127158098	0.9275915775
8	0.7078695823	0.9128403804
9	0.7044387871	0.8991180448
10	0.7091968865	0.8862297022
11	0.7053603045	0.8746662049
12	0.7085190215	0.8640758187
13	0.711502943	0.8544321165
14	0.7146987649	0.84392732
15	0.7182123538	0.8333585599
16	0.7177017705	0.8238767618
17	0.7188284916	0.8157975927
18	0.718604629	0.8072799448
19	0.7213237864	0.8005359266
20	0.7170831943	0.7946552549
21	0.720938697	0.7869621845
22	0.7224991723	0.7806962195
23	0.7210480105	0.7750765623
24	0.7211905674	0.7693735615
25	0.7228619456	0.7639269817
26	0.7233172542	0.7573159703
27	0.7256785867	0.7519595289
28	0.7270432465	0.7476532919
29	0.7260838479	0.7426719605
30	0.729990468	0.7365904546
31	0.730989897	0.7321052433
32	0.7321665789	0.7263596682
33	0.7337829473	0.7216073397
34	0.7332901828	0.7168610706
35	0.734874765	0.7130980349
36	0.7352525251	0.7093916259
37	0.7380340695	0.7055464505
38	0.7380879679	0.701894664
39	0.7391776263	0.6976303314
40	0.7382202161	0.6943547211
41	0.7397209331	0.6906936856
42	0.7406978513	0.6865302963
43	0.741929112	0.6829926815
44	0.7437708974	0.6799513996
45	0.7443417649	0.6764928954
46	0.7460941063	0.6729021215
47	0.7480390927	0.6697740822
48	0.7466337231	0.6665970405
49	0.7473564716	0.6634176209
50	0.748405695	0.6604612919
51	0.7507175712	0.6584278124
52	0.7518266814	0.6560681054
53	0.751311525	0.6539934315
54	0.752500146	0.6512499879
55	0.7544833307	0.649034403
56	0.7540500683	0.6476772248
57	0.7563835721	0.6467529531
58	0.7555477578	0.645240422
59	0.7572189706	0.6426814087
60	0.7573357266	0.6407005007
61	0.7580777557	0.6387286257
62	0.7606713464	0.6360797468
63	0.7613562673	0.6340287899
64	0.7595220477	0.6317996661
65	0.7627026746	0.6297569943
66	0.7642950733	0.627803575
67	0.7642464879	0.6259726939
68	0.7662470353	0.6242278549
69	0.766800582	0.6228973843
70	0.7675081065	0.621432369
