iter	Passed	Remaining
0	165	165255
1	178	88988
2	191	63797
3	206	51359
4	220	43848
5	233	38686
6	246	35030
7	259	32215
8	272	30020
9	284	28214
10	298	26845
11	311	25655
12	323	24574
13	335	23650
14	348	22902
15	360	22198
16	373	21574
17	385	21028
18	397	20545
19	423	20732
20	438	20452
21	451	20066
22	463	19686
23	476	19365
24	489	19076
25	501	18792
26	514	18542
27	538	18694
28	553	18539
29	567	18342
30	580	18148
31	593	17966
32	606	17783
33	619	17600
34	631	17420
35	644	17251
36	655	17071
37	669	16937
38	681	16794
39	693	16649
40	705	16505
41	717	16375
42	730	16250
43	741	16117
44	753	16000
45	766	15898
46	778	15788
47	791	15703
48	803	15597
49	815	15496
50	827	15405
51	840	15330
52	853	15245
53	865	15163
54	878	15086
55	890	15007
56	902	14933
57	914	14854
58	926	14779
59	938	14710
60	951	14653
61	964	14587
62	976	14522
63	988	14460
64	1000	14397
65	1013	14344
66	1026	14287
67	1038	14240
68	1052	14195
69	1064	14137
70	1076	14082
71	1088	14034
72	1101	13988
73	1113	13939
74	1134	13990
75	1158	14083
76	1175	14096
77	1192	14092
78	1206	14068
79	1221	14047
80	1235	14014
81	1248	13976
82	1261	13931
83	1273	13891
84	1287	13859
85	1301	13828
86	1314	13792
87	1327	13757
88	1340	13718
89	1353	13686
90	1366	13648
91	1378	13607
92	1392	13582
93	1406	13555
94	1419	13518
95	1431	13483
96	1444	13449
97	1457	13418
98	1470	13380
99	1483	13352
100	1496	13320
101	1509	13288
102	1523	13266
103	1535	13232
104	1549	13206
105	1564	13193
106	1580	13189
107	1593	13157
108	1605	13127
109	1619	13105
110	1633	13078
111	1646	13051
112	1658	13016
113	1670	12983
114	1683	12954
115	1696	12927
116	1709	12898
117	1722	12873
118	1734	12843
119	1748	12821
120	1760	12792
121	1773	12762
122	1785	12732
123	1798	12705
124	1811	12678
125	1823	12649
126	1835	12617
127	1847	12588
128	1860	12563
129	1873	12536
130	1885	12510
131	1898	12481
132	1910	12455
133	1923	12430
134	1935	12404
135	1947	12374
136	1960	12347
137	1973	12328
138	1986	12302
139	1998	12276
140	2010	12249
141	2022	12222
142	2034	12193
143	2046	12165
144	2058	12138
145	2070	12113
146	2083	12088
147	2095	12061
148	2107	12039
149	2121	12019
150	2133	11994
151	2146	11975
152	2160	11958
153	2172	11933
154	2184	11909
155	2196	11885
156	2209	11863
157	2222	11842
158	2235	11821
159	2248	11804
160	2261	11787
161	2274	11767
162	2288	11753
163	2302	11737
164	2318	11730
165	2332	11716
166	2348	11715
167	2364	11709
168	2378	11696
169	2392	11682
170	2407	11669
171	2421	11656
172	2435	11644
173	2449	11630
174	2463	11615
175	2478	11603
176	2492	11588
177	2507	11579
178	2521	11566
179	2536	11553
180	2550	11539
181	2565	11530
182	2580	11518
183	2594	11504
184	2608	11491
185	2622	11477
186	2636	11462
187	2650	11447
188	2664	11431
189	2677	11414
190	2691	11400
191	2704	11383
192	2719	11369
193	2732	11350
194	2746	11336
195	2758	11317
196	2772	11301
197	2786	11284
198	2801	11274
199	2815	11260
200	2828	11244
201	2842	11230
202	2857	11217
203	2873	11210
204	2887	11196
205	2902	11187
206	2916	11171
207	2930	11157
208	2943	11141
209	2957	11125
210	2970	11107
211	2984	11092
212	2997	11074
213	3010	11057
214	3023	11040
215	3037	11024
216	3051	11009
217	3065	10994
218	3078	10979
219	3092	10964
220	3106	10948
221	3119	10933
222	3133	10916
223	3148	10906
224	3162	10891
225	3176	10878
226	3190	10863
227	3203	10848
228	3217	10833
229	3231	10817
230	3244	10800
231	3258	10785
232	3271	10768
233	3285	10755
234	3299	10740
235	3313	10725
236	3326	10709
237	3340	10694
238	3352	10675
239	3366	10660
240	3380	10646
241	3394	10631
242	3407	10614
243	3421	10600
244	3434	10584
245	3447	10567
246	3461	10551
247	3474	10536
248	3488	10521
249	3502	10508
250	3516	10492
251	3530	10480
252	3544	10465
253	3558	10450
254	3572	10435
255	3585	10421
256	3599	10406
257	3613	10391
258	3627	10377
259	3642	10366
260	3656	10353
261	3671	10340
262	3685	10326
263	3698	10312
264	3712	10295
265	3725	10279
266	3739	10265
267	3752	10248
268	3764	10229
269	3777	10213
270	3790	10196
271	3804	10183
272	3816	10163
273	3828	10145
274	3841	10127
275	3854	10112
276	3869	10100
277	3883	10084
278	3896	10068
279	3909	10053
280	3923	10039
281	3937	10025
282	3950	10009
283	3966	9999
284	3979	9982
285	3992	9967
286	4005	9950
287	4018	9933
288	4029	9914
289	4042	9896
290	4054	9878
291	4069	9866
292	4081	9848
293	4094	9831
294	4107	9817
295	4120	9801
296	4133	9784
297	4145	9766
298	4159	9752
299	4173	9737
300	4188	9725
301	4202	9712
302	4216	9700
303	4232	9690
304	4249	9683
305	4264	9670
306	4277	9656
307	4291	9641
308	4305	9627
309	4323	9623
310	4338	9612
311	4354	9603
312	4370	9592
