iter	Passed	Remaining
0	17	17072
1	31	15930
2	46	15392
3	60	15033
4	75	14949
5	90	14911
6	104	14820
7	117	14543
8	131	14453
9	146	14474
10	160	14426
11	173	14312
12	187	14228
13	203	14323
14	218	14326
15	233	14370
16	248	14373
17	262	14331
18	276	14265
19	290	14225
20	304	14200
21	321	14283
22	335	14238
23	348	14167
24	361	14106
25	374	14023
26	387	13963
27	401	13928
28	414	13877
29	428	13841
30	442	13829
31	456	13810
32	469	13766
33	483	13737
34	498	13740
35	512	13732
36	526	13702
37	540	13672
38	554	13652
39	567	13629
40	582	13614
41	596	13599
42	611	13602
43	625	13582
44	639	13562
45	652	13537
46	667	13528
47	681	13516
48	695	13491
49	708	13462
50	723	13467
51	736	13428
52	749	13396
53	764	13396
54	778	13369
55	792	13360
56	806	13339
57	818	13301
58	833	13287
59	846	13265
60	860	13248
61	875	13238
62	889	13224
63	902	13203
64	916	13183
65	929	13158
66	942	13130
67	956	13116
68	969	13087
69	983	13067
70	996	13039
71	1010	13024
72	1023	13001
73	1038	12989
74	1051	12964
75	1064	12940
76	1077	12919
77	1091	12903
78	1107	12907
79	1120	12883
80	1135	12881
81	1148	12860
82	1161	12826
83	1174	12804
84	1187	12781
85	1201	12769
86	1215	12753
87	1228	12731
88	1241	12712
89	1257	12709
90	1273	12716
91	1287	12706
92	1301	12691
93	1314	12669
94	1327	12643
95	1340	12624
96	1354	12605
97	1367	12583
98	1380	12561
99	1393	12544
100	1406	12518
101	1420	12508
102	1434	12495
103	1448	12478
104	1461	12457
105	1474	12437
106	1487	12415
107	1500	12395
108	1514	12380
109	1528	12367
110	1541	12344
111	1553	12319
112	1566	12297
113	1580	12281
114	1593	12260
115	1605	12236
116	1619	12218
117	1632	12204
118	1646	12192
119	1660	12178
120	1675	12171
121	1688	12149
122	1702	12138
123	1716	12126
124	1730	12113
125	1744	12102
126	1759	12098
127	1774	12085
128	1787	12070
129	1800	12051
130	1814	12039
131	1829	12030
132	1843	12017
133	1856	12000
134	1869	11976
135	1882	11959
136	1896	11946
137	1910	11932
138	1924	11923
139	1937	11901
140	1949	11878
141	1962	11858
142	1975	11839
143	1988	11823
144	2001	11800
145	2015	11788
146	2029	11774
147	2042	11757
148	2056	11744
149	2070	11730
150	2084	11721
151	2098	11704
152	2111	11690
153	2124	11672
154	2139	11661
155	2152	11646
156	2164	11623
157	2178	11606
158	2191	11591
159	2204	11576
160	2219	11566
161	2232	11548
162	2245	11529
163	2259	11518
164	2273	11506
165	2287	11494
166	2300	11476
167	2312	11454
168	2327	11443
169	2342	11438
170	2356	11424
171	2371	11418
172	2385	11402
173	2397	11382
174	2411	11367
175	2425	11355
176	2441	11350
177	2454	11335
178	2467	11318
179	2481	11304
180	2496	11298
181	2510	11284
182	2524	11271
183	2538	11258
184	2553	11247
185	2567	11234
186	2582	11225
187	2594	11207
188	2608	11193
189	2623	11182
190	2638	11173
191	2654	11171
192	2671	11168
193	2687	11165
194	2702	11156
195	2716	11142
196	2730	11131
197	2744	11115
198	2759	11108
199	2773	11094
200	2788	11082
201	2802	11072
202	2816	11056
203	2829	11042
204	2843	11028
205	2856	11010
206	2870	10998
207	2884	10984
208	2898	10971
209	2913	10959
210	2926	10943
211	2940	10931
212	2954	10917
213	2968	10903
214	2982	10888
215	2996	10876
216	3010	10864
217	3025	10852
218	3038	10835
219	3052	10823
220	3066	10809
221	3081	10798
222	3095	10784
223	3109	10772
224	3123	10758
225	3136	10742
226	3151	10730
227	3165	10717
228	3179	10703
229	3194	10693
230	3209	10684
231	3226	10679
232	3239	10665
233	3253	10651
234	3267	10636
235	3281	10624
236	3295	10608
237	3308	10593
238	3322	10577
239	3334	10560
240	3348	10546
241	3362	10532
242	3376	10519
243	3390	10505
244	3403	10488
245	3415	10469
246	3430	10456
247	3443	10442
248	3457	10426
249	3471	10415
250	3485	10402
251	3498	10385
252	3512	10370
253	3525	10355
254	3539	10341
255	3552	10325
256	3565	10307
257	3579	10295
258	3595	10285
259	3610	10274
260	3624	10263
261	3640	10254
262	3655	10242
263	3669	10230
264	3683	10216
265	3697	10202
266	3712	10191
267	3726	10177
268	3740	10165
269	3755	10152
270	3769	10141
271	3783	10127
272	3797	10112
273	3810	10097
274	3826	10087
275	3840	10075
276	3855	10061
277	3870	10053
278	3884	10039
279	3897	10022
280	3911	10008
281	3925	9995
282	3939	9982
283	3953	9968
284	3968	9956
285	3982	9942
286	3997	9932
287	4013	9922
288	4029	9912
289	4044	9901
290	4057	9884
291	4070	9870
292	4084	9854
293	4097	9839
294	4110	9822
295	4123	9806
296	4136	9791
297	4150	9776
298	4162	9759
299	4176	9745
300	4189	9729
301	4203	9714
302	4216	9698
303	4229	9683
304	4244	9671
305	4258	9657
306	4272	9645
307	4287	9632
308	4300	9616
309	4313	9601
310	4327	9586
311	4339	9570
312	4354	9557
